crop,crop_verdict,category,canonical_name,node_a,node_b,node_c,crop_notes,disease,disease_verdict,disease_reason,disease_check
Acidified Potato Dextrose Agar (Apda),INVALID,other,Acidified Potato Dextrose Agar (Apda),NO,N/A,N/A,"This is a microbiological growth medium, not a plant or crop.",,,,skipped: Crop verdict is INVALID
Alder,VALID,tree_crop,Alder,YES,YES,YES,Alder (Alnus spp.) is grown as a timber and nitrogen-fixing tree in forestry and agroforestry systems.,Sooty Mold,CORRECT,"Sooty mold (Capnodium spp. and related fungi) is a well-documented superficial fungal growth on alder foliage and stems, developing on honeydew secreted by sap-feeding insects such as aphids and psyllids.",judged
Alfalfa,VALID,forage,Alfalfa,YES,YES,YES,,Downy Mildew,CORRECT,Downy mildew of alfalfa caused by Peronospora trifoliorum is a well-documented foliar disease of alfalfa.,judged
Alfalfa,VALID,forage,Alfalfa,YES,YES,YES,,Stemphylium Leaf Spot,CORRECT,Stemphylium leaf spot (Stemphylium botryosum) is a recognized foliar disease of alfalfa causing characteristic lesions on leaflets.,judged
Alfalfa,VALID,forage,Alfalfa,YES,YES,YES,,Summer Black Stem,CORRECT,Summer black stem and leaf spot caused by Cercospora medicaginis is a well-documented warm-season disease of alfalfa.,judged
Almond,VALID,nut_crop,Almond,YES,YES,YES,,Brown Rot,CORRECT,"Brown rot blossom blight and fruit rot caused by Monilinia laxa/fructicola is a major, well-documented disease of almond.",judged
Almond,VALID,nut_crop,Almond,YES,YES,YES,,Stigmina Fungus,QUESTIONABLE,"Refers to the pathogen genus (Stigmina carpophila, cause of shot hole) rather than the disease name, and uses informal 'fungus' phrasing.",judged
Alternateleaf Dogwood,VALID,ornamental,Alternate-leaf Dogwood,YES,YES,YES,"Cornus alternifolia, grown as an ornamental landscape tree/shrub.",Cryptodiaporthe Fungus,QUESTIONABLE,Names a pathogen genus (Cryptodiaporthe corni causes golden canker on Cornus alternifolia) rather than the disease itself (golden canker).,judged
Alumroot,VALID,ornamental,Alumroot,YES,YES,YES,Heuchera spp.; cultivated as a perennial ornamental (also called coral bells).,Rust,CORRECT,Rust caused by Puccinia heucherae is a well-documented foliar disease of Heuchera (alumroot).,judged
Amaryllis,VALID,ornamental,Amaryllis,YES,YES,YES,,Didymella Curtisii G.J. Jellis & Punith.,QUESTIONABLE,"This names the fungal pathogen (Stagonospora curtisii, syn. Didymella curtisii) rather than the disease itself, which is properly called red blotch, red fire, or leaf scorch of Amaryllis/Hippeastrum.",judged
American Beech,VALID,tree_crop,American Beech,YES,YES,YES,Fagus grandifolia; cultivated for timber and as an ornamental shade tree.,Neonectria Coccinea,QUESTIONABLE,"Names a fungal pathogen species (Neonectria coccinea) rather than the disease itself; the associated disease on American beech is beech bark disease, typically in a scale-insect/Neonectria complex.",judged
American Beech,VALID,tree_crop,American Beech,YES,YES,YES,Fagus grandifolia; cultivated for timber and as an ornamental shade tree.,Beech Leaf Disease,CORRECT,"Well-documented emerging disease of American beech caused by the foliar nematode Litylenchus crenatae mccannii, first described in Ohio in 2012 and now widespread in the eastern U.S.",judged
American Boxwood,VALID,ornamental,American Boxwood,YES,YES,YES,,Boxwood Blight,CORRECT,"Boxwood blight, caused by Calonectria pseudonaviculata, is a well-documented and economically significant fungal disease of American boxwood (Buxus sempervirens).",judged
American Chestnut,VALID,nut_crop,American Chestnut,YES,YES,YES,,Chestnut Blight Or Canker,CORRECT,"Chestnut blight, caused by Cryphonectria parasitica, is the devastating canker disease that decimated American chestnut populations.",judged
American Elm,VALID,ornamental,American Elm,YES,YES,YES,Ulmus americana is cultivated as a shade/ornamental tree and historically for timber.,Dutch Elm Disease,CORRECT,"Dutch Elm Disease, caused by Ophiostoma ulmi and O. novo-ulmi, is the most devastating and well-documented vascular wilt disease of American Elm (Ulmus americana).",judged
Apple,VALID,fruit,Apple,YES,YES,YES,,Beech Bark Disease,INCORRECT,"Disease of American beech (Fagus grandifolia) caused by scale insect and Neonectria fungi, not associated with apple.",judged
Apple,VALID,fruit,Apple,YES,YES,YES,,Apple Scab,CORRECT,Major apple disease caused by Venturia inaequalis affecting leaves and fruit worldwide.,judged
